p_mut	p_inf	n_inf_n_mean
0.001	0.0025	4000.0
0.001	0.003	4333.333333333333
0.001	0.0035	4500.0
0.001	0.004	4500.0
0.001	0.0045	4666.666666666667
0.001	0.005	4666.666666666667
0.001	0.0055	4833.333333333333
0.001	0.006	4833.333333333333
0.001	0.0065	4833.333333333333
0.001	0.007	4833.333333333333
0.001	0.0075	4833.333333333333
0.001	0.008	4833.333333333333
0.001	0.0085	4833.333333333333
0.001	0.009	5000.0
0.001	0.0095	5000.0
0.001	0.01	5000.0
0.001584893192461114	0.0	0.0
0.001584893192461114	0.0005	666.6666666666666
0.001584893192461114	0.001	1833.3333333333333
0.001584893192461114	0.0015	3500.0
0.001584893192461114	0.002	3500.0
0.001584893192461114	0.0025	4166.666666666667
0.001584893192461114	0.003	4166.666666666667
0.001584893192461114	0.0035	4333.333333333333
0.001584893192461114	0.004	4500.0
0.001584893192461114	0.0045	4666.666666666667
0.001584893192461114	0.005	5000.0
0.001584893192461114	0.0055	5000.0
0.001584893192461114	0.006	5000.0
0.001584893192461114	0.0065	5000.0
0.001584893192461114	0.007	4833.333333333333
0.001584893192461114	0.0075	4833.333333333333
0.001584893192461114	0.008	4833.333333333333
0.001584893192461114	0.0085	4833.333333333333
0.001584893192461114	0.009	5000.0
0.001584893192461114	0.0095	5000.0
0.001584893192461114	0.01	5000.0
0.002511886431509582	0.0	0.0
0.002511886431509582	0.0005	1000.0
0.002511886431509582	0.001	1500.0
0.002511886431509582	0.0015	3000.0
0.002511886431509582	0.002	3666.6666666666665
0.002511886431509582	0.0025	4166.666666666667
0.002511886431509582	0.003	3833.3333333333335
0.002511886431509582	0.0035	4000.0
0.002511886431509582	0.004	4500.0
0.002511886431509582	0.0045	4500.0
0.002511886431509582	0.005	4500.0
0.002511886431509582	0.0055	4666.666666666667
0.002511886431509582	0.006	4833.333333333333
0.002511886431509582	0.0065	5000.0
0.002511886431509582	0.007	5000.0
0.002511886431509582	0.0075	5000.0
0.002511886431509582	0.008	5000.0
0.002511886431509582	0.0085	5000.0
0.002511886431509582	0.009	5000.0
0.002511886431509582	0.0095	5000.0
0.002511886431509582	0.01	5000.0
0.003981071705534969	0.0	0.0
0.003981071705534969	0.0005	1166.6666666666667
0.003981071705534969	0.001	2833.3333333333335
0.003981071705534969	0.0015	3500.0
0.003981071705534969	0.002	3833.3333333333335
0.003981071705534969	0.0025	4166.666666666667
0.003981071705534969	0.003	4333.333333333333
0.003981071705534969	0.0035	4333.333333333333
0.003981071705534969	0.004	4333.333333333333
0.003981071705534969	0.0045	4500.0
0.003981071705534969	0.005	4666.666666666667
0.003981071705534969	0.0055	4833.333333333333
0.003981071705534969	0.006	4833.333333333333
0.003981071705534969	0.0065	4833.333333333333
0.003981071705534969	0.007	5000.0
0.003981071705534969	0.0075	5000.0
0.003981071705534969	0.008	5000.0
0.003981071705534969	0.0085	5000.0
0.003981071705534969	0.009	5000.0
0.003981071705534969	0.0095	5000.0
0.003981071705534969	0.01	5000.0
0.00630957344480193	0.0	0.0
0.00630957344480193	0.0005	1500.0
0.00630957344480193	0.001	3000.0
0.00630957344480193	0.0015	4333.333333333333
0.00630957344480193	0.002	4000.0
0.00630957344480193	0.0025	4166.666666666667
0.00630957344480193	0.003	4333.333333333333
0.00630957344480193	0.0035	4666.666666666667
0.00630957344480193	0.004	4666.666666666667
0.00630957344480193	0.0045	4833.333333333333
0.00630957344480193	0.005	4833.333333333333
0.00630957344480193	0.0055	4833.333333333333
0.00630957344480193	0.006	4833.333333333333
0.00630957344480193	0.0065	4833.333333333333
0.00630957344480193	0.007	4833.333333333333
0.00630957344480193	0.0075	4833.333333333333
0.00630957344480193	0.008	4833.333333333333
0.00630957344480193	0.0085	4833.333333333333
0.00630957344480193	0.009	4833.333333333333
0.00630957344480193	0.0095	4833.333333333333
0.00630957344480193	0.01	4833.333333333333
0.01	0.0	0.0
0.01	0.0005	666.6666666666666
0.01	0.001	1333.3333333333333
0.01	0.0015	1833.3333333333333
0.01	0.002	2833.3333333333335
0.01	0.0025	2833.3333333333335
0.01	0.003	3500.0
0.01	0.0035	3666.6666666666665
0.01	0.004	4000.0
0.01	0.0045	4333.333333333333
0.01	0.005	4500.0
0.01	0.0055	4500.0
0.01	0.006	4666.666666666667
0.01	0.0065	4666.666666666667
0.01	0.007	4833.333333333333
0.01	0.0075	4833.333333333333
0.01	0.008	4833.333333333333
0.01	0.0085	4833.333333333333
0.01	0.009	4833.333333333333
0.01	0.0095	5000.0
0.01	0.01	5000.0
0.01584893192461114	0.0	0.0
0.01584893192461114	0.0005	1166.6666666666667
0.01584893192461114	0.001	1666.6666666666667
0.01584893192461114	0.0015	1833.3333333333333
0.01584893192461114	0.002	2333.3333333333335
0.01584893192461114	0.0025	3000.0
0.01584893192461114	0.003	3500.0
0.01584893192461114	0.0035	3833.3333333333335
0.01584893192461114	0.004	4166.666666666667
0.01584893192461114	0.0045	4333.333333333333
0.01584893192461114	0.005	4500.0
0.01584893192461114	0.0055	4666.666666666667
0.01584893192461114	0.006	4666.666666666667
