p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.005	20	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	22	0	27	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	23	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	25	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	26	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	28	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	29	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	30	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	1	0	19	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	2	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	3	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	4	0	24	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	5	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	6	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	7	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	8	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	9	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	10	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	11	0	19	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	12	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	13	0	22	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.006	14	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
